City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,4.06,75,75,5.66,CL,1681707819
1,bluff,-46.6,168.3333,17.03,68,99,2.33,NZ,1681707820
2,birjand,32.8663,59.2211,16.26,27,100,0.0,IR,1681707639
3,vaini,-21.2,-175.2,26.09,83,75,8.23,TO,1681707820
4,pangody,65.85,74.4859,-15.46,90,100,6.5,RU,1681707821
5,fortuna,40.5982,-124.1573,9.08,88,86,1.39,US,1681707821
6,roebourne,-20.7833,117.1333,28.93,20,2,5.9,AU,1681707821
7,port-gentil,-0.7193,8.7815,26.24,83,100,5.32,GA,1681707822
8,hermanus,-34.4187,19.2345,16.25,63,8,1.63,ZA,1681707822
9,aqtobe,50.2797,57.2072,2.05,60,0,1.0,KZ,1681707757
10,puerto ayora,-0.7393,-90.3518,23.64,100,98,0.45,EC,1681707823
11,rawson,-43.3002,-65.1023,11.16,68,45,11.89,AR,1681707823
12,ushuaia,-54.8,-68.3,2.81,75,40,2.06,AR,1681707780
13,albany,42.6001,-73.9662,17.73,78,42,1.79,US,1681707602
14,east london,-33.0153,27.9116,11.52,93,0,1.54,ZA,1681707643
15,sokoni,-6.4333,39.55,25.92,83,90,5.32,TZ,1681707824
16,juneau,58.3019,-134.4197,4.0,90,20,0.0,US,1681707824
17,inhambane,-23.865,35.3833,16.99,88,20,0.0,MZ,1681707825
18,rikitea,-23.1203,-134.9692,26.45,82,47,5.01,PF,1681707825
19,ayan,56.45,138.1667,-1.56,81,51,1.97,RU,1681707825
20,nabire,-3.3667,135.4833,30.52,66,41,3.07,ID,1681707825
21,asau,46.4333,26.4,7.51,98,100,1.82,RO,1681707825
22,lorengau,-2.0226,147.2712,27.98,78,97,3.97,PG,1681707826
23,tomatlan,19.9333,-105.25,20.75,82,1,1.1,MX,1681707826
24,batemans bay,-35.7167,150.1833,18.39,56,20,3.51,AU,1681707826
25,katsuura,35.1333,140.3,19.01,66,48,3.18,JP,1681707826
26,miraflores,19.2167,-98.8083,15.02,60,78,1.93,MX,1681707827
27,namibe,-15.1961,12.1522,24.04,80,16,1.76,AO,1681707827
28,atuona,-9.8,-139.0333,27.62,76,62,8.52,PF,1681707828
29,luganville,-15.5333,167.1667,28.32,79,95,1.47,VU,1681707828
30,hobart,-42.8794,147.3294,19.92,53,40,8.75,AU,1681707701
31,marawi,7.9986,124.2928,29.21,51,17,2.61,PH,1681707829
32,mataura,-46.1927,168.8643,16.05,69,98,0.98,NZ,1681707829
33,coquimbo,-29.9533,-71.3436,13.85,82,0,3.6,CL,1681707830
34,jamestown,42.097,-79.2353,8.77,90,100,5.66,US,1681707830
35,ust-maya,60.4167,134.5333,3.5,85,16,3.17,RU,1681707830
36,padang,-0.9492,100.3543,30.03,67,96,2.72,ID,1681707716
37,dukat,62.55,155.55,-4.29,87,100,1.71,RU,1681707830
38,qaanaaq,77.484,-69.3632,-18.19,73,0,3.23,GL,1681707830
39,cape town,-33.9258,18.4232,17.73,84,0,5.36,ZA,1681707421
40,ancud,-41.8697,-73.8203,8.26,83,86,1.52,CL,1681707831
41,haines junction,60.7522,-137.5108,2.97,60,99,1.03,CA,1681707831
42,baturaja,-4.1333,104.1667,32.84,54,90,1.49,ID,1681707831
43,chicama,-7.8447,-79.1469,24.3,80,100,1.99,PE,1681707831
44,bethel,41.3712,-73.414,14.8,89,100,3.09,US,1681707832
45,bredasdorp,-34.5322,20.0403,12.99,80,9,1.4,ZA,1681707832
46,avarua,-21.2078,-159.775,24.03,53,90,2.57,CK,1681707832
47,college,64.8569,-147.8028,-1.03,66,75,2.57,US,1681707832
48,codrington,-38.2667,141.9667,19.28,65,78,5.41,AU,1681707833
49,ixtapa,20.7,-105.2,24.01,80,1,0.95,MX,1681707833
50,port elizabeth,-33.918,25.5701,10.16,93,0,1.54,ZA,1681707833
51,boa vista,2.8197,-60.6733,23.99,94,75,3.6,BR,1681707663
52,abu samrah,35.3029,37.1841,20.76,34,4,0.94,SY,1681707834
53,burley,42.5357,-113.7928,14.55,25,94,4.02,US,1681707665
54,ahipara,-35.1667,173.1667,19.37,74,14,6.75,NZ,1681707834
55,fairbanks,64.8378,-147.7164,-1.02,66,75,2.57,US,1681707809
56,paramonga,-10.6667,-77.8333,23.97,84,99,3.49,PE,1681707834
57,namatanai,-3.6667,152.4333,29.2,65,32,2.65,PG,1681707835
58,gutierrez,4.2547,-74.0025,13.88,95,100,1.46,CO,1681707835
59,berwick,41.0545,-76.2333,19.29,87,60,3.87,US,1681707802
60,port alfred,-33.5906,26.891,18.1,48,4,2.42,ZA,1681707835
61,vila franca do campo,37.7167,-25.4333,15.23,86,89,2.53,PT,1681707835
62,tucuman,-26.8241,-65.2226,16.0,100,100,0.0,AR,1681707836
63,cidreira,-30.1811,-50.2056,19.79,95,56,5.28,BR,1681707836
64,clyde river,70.4692,-68.5914,-17.87,78,0,9.77,CA,1681707836
65,kapaa,22.0752,-159.319,24.5,84,20,2.57,US,1681707836
66,meulaboh,4.1363,96.1285,30.18,67,40,2.41,ID,1681707836
67,buluang,13.3068,123.3425,29.79,70,96,1.27,PH,1681707837
68,roquebrune-cap-martin,43.7641,7.4821,15.85,58,52,2.12,FR,1681707837
69,wanning,18.8003,110.3967,28.31,76,85,4.86,CN,1681707837
70,busselton,-33.65,115.3333,20.02,67,100,7.48,AU,1681707654
71,talnakh,69.4865,88.3972,-12.3,79,50,0.57,RU,1681707838
72,cherskiy,68.75,161.3,-1.51,74,13,2.45,RU,1681707838
73,provideniya,64.3833,-173.3,-7.94,67,75,4.02,RU,1681707838
74,emerald,-23.5333,148.1667,28.52,54,49,1.83,AU,1681707838
75,thompson,55.7435,-97.8558,-1.91,50,40,2.57,CA,1681707839
76,hilo,19.7297,-155.09,23.49,96,98,0.89,US,1681707616
77,geraldton,-28.7667,114.6,24.23,50,100,6.69,AU,1681707758
78,coro,11.4045,-69.6734,24.02,86,65,5.04,VE,1681707839
79,butaritari,3.0707,172.7902,28.18,77,69,4.72,KI,1681707840
80,lebu,-37.6167,-73.65,10.11,81,35,4.97,CL,1681707840
81,riyadh,24.6877,46.7219,19.08,59,100,2.45,SA,1681707747
82,pitkyaranta,61.5734,31.4792,-0.88,99,93,1.83,RU,1681707841
83,suez,29.9737,32.5263,20.14,45,0,4.19,EG,1681707841
84,caucaia,-3.7361,-38.6531,25.97,86,75,1.54,BR,1681707841
85,zholymbet,51.7433,71.7122,-1.54,77,100,7.05,KZ,1681707842
